ds,yhat,yhat_lower,yhat_upper
2014-01-01,16956.114468409338,7913.008587455535,25862.57126192856
2014-02-01,3734.545825552268,-5164.9726177673565,11952.71773085529
2014-03-01,42557.622343075505,34030.99187450925,50863.07130980608
2014-04-01,26439.241492289144,18176.84839252102,35128.887734878626
2014-05-01,26642.88928771844,17954.27662617488,35479.63530162318
2014-06-01,27772.562700548337,18893.43263444305,36535.341801393886
2014-07-01,27547.209027701545,19221.564533479035,36121.86577720676
2014-08-01,31866.760863673655,23702.928373636292,40746.471812970834
2014-09-01,68461.8165135988,59944.28323089532,77375.9788420749
2014-10-01,36668.76251880423,28453.526368256025,45309.54199008689
2014-11-01,78435.42697009025,69293.63034019743,86997.92143792492
2014-12-01,69793.50696120197,61144.93518774264,78073.00643544778
2015-01-01,17863.06978747096,9410.996718623797,26717.31315461784
2015-02-01,13096.006558625235,4145.479635927497,21542.952247405057
2015-03-01,47137.45375113855,37798.0237890928,56481.663688865934
2015-04-01,32766.49676226212,24019.236048377803,41771.689565672576
2015-05-01,25301.90632576417,16887.07181650828,33339.14483133072
2015-06-01,30574.127850834364,21828.4795479257,38996.978368092576
2015-07-01,33070.95972855115,24181.589236750042,41797.01036298653
2015-08-01,40373.64087261203,31860.44754080173,48850.7062631128
2015-09-01,75927.09611949036,67364.38786081466,84278.15592478296
2015-10-01,34855.24161764075,25995.093241771043,43872.185435495
2015-11-01,85261.42999173238,75833.86311581793,93507.22794250233
2015-12-01,73814.40124729055,65441.70381603048,82128.51680775595
2016-01-01,20141.227959436656,11676.74021913925,28787.238094959634
2016-02-01,24221.891918852212,15528.659080741589,32356.10975327562
2016-03-01,52813.625242187416,44007.13049258767,61234.143538387674
2016-04-01,33512.322005753726,25421.398728468364,41736.819637680725
2016-05-01,49671.05856165969,41496.573919630704,58208.34292071489
2016-06-01,43396.23563220536,34760.6283658375,51621.910108676515
2016-07-01,38166.06439891286,29015.32894080458,46787.66176362917
2016-08-01,36678.08896429393,27702.066616261596,45420.19070373291
2016-09-01,75248.75283902267,66109.09471239355,83696.91704840104
2016-10-01,62781.53826853199,54515.45682337001,71449.33783577853
2016-11-01,88722.81721899529,79832.89086963434,97640.74928669148
2016-12-01,86729.86585860385,78279.66545228884,95958.14786623043
2017-01-01,39983.44076432741,31498.64099672455,48683.13458405541
2017-02-01,18713.219886010775,9768.77046071378,27104.483134856844
2017-03-01,62532.433070551466,53965.2571559179,71260.60264983603
2017-04-01,45054.407908582216,36655.210913576106,53682.130782467575
2017-05-01,53409.410078467,44171.78623702734,62043.29376155948
2017-06-01,50972.09227998129,42172.68727979736,59164.91492915723
2017-07-01,48443.199791603554,39256.2902633321,57503.39204715046
2017-08-01,50114.70714631473,41108.02596274873,58992.145979850895
2017-09-01,88000.20599146947,78561.61667249845,96470.90412347885
2017-10-01,66019.91043573375,56940.91414331728,74113.24703362904
2017-11-01,100051.69014675845,91533.92734667246,108800.29644724086
2017-12-01,94971.17061674505,86495.03867008412,103512.16181735555
2017-12-31,32512.811015477477,24141.324177652416,41293.593712770846
2018-01-31,53334.10705892133,44331.622787130036,61751.96864036263
2018-02-28,72434.01616889802,64227.82221748403,81585.67198579483
2018-03-31,63522.709593588166,54839.189734182815,71797.54225119567
2018-04-30,33971.789392095794,25116.797296338795,42359.14826875921
2018-05-31,52957.20024085162,44299.7761184386,61402.79687431706
